model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_bigger_biggest_lstm_v16,SGD,1e-04,"[0.38116100430488586, 0.3931179344654083, 0.37495437264442444, 0.46732383966445923, 0.35012778639793396, 0.3406352698802948, 0.5944687724113464, 0.5370573401451111, 0.44076305627822876, 0.48813435435295105, 0.5096750855445862, 0.6168309450149536, 0.5604234933853149, 0.5468236804008484, 0.5297554135322571, 0.5498356819152832, 0.4476999044418335, 0.591730535030365, 0.4992698132991791, 0.4933369755744934, 0.47362175583839417, 0.4633990526199341, 0.4767250716686249, 0.48877328634262085, 0.47654253244400024, 0.4853048622608185, 0.487130343914032, 0.47535598278045654, 0.49233296513557434, 0.49370208382606506, 0.49050748348236084, 0.48995983600616455, 0.4855786859989166, 0.49224168062210083, 0.4889558255672455, 0.48859071731567383, 0.4903249442577362, 0.4913289546966553, 0.48986855149269104, 0.4933369755744934, 0.4895034730434418, 0.4927893280982971, 0.4940671920776367, 0.4976268708705902, 0.4951624572277069, 0.49662286043167114, 0.5065717697143555, 0.5174333453178406, 0.5044724345207214, 0.5273822546005249, 0.5465498566627502, 0.5218145251274109, 0.5392479300498962, 0.5467323660850525, 0.5457283854484558, 0.5454545617103577, 0.5271996855735779, 0.5520262718200684, 0.5471887588500977, 0.5406169891357422, 0.5400693416595459, 0.5457283854484558, 0.5229098200798035, 0.5283862948417664, 0.5269258618354797]","[0.33175182342529297, 0.668248176574707, 0.33175182342529297, 0.49087589979171753, 0.3324817419052124, 0.3470802903175354, 0.6412408947944641, 0.5167883038520813, 0.6678832173347473, 0.668248176574707, 0.48649635910987854, 0.6565693616867065, 0.5295620560646057, 0.6080291867256165, 0.47445255517959595, 0.4759124219417572, 0.5521897673606873, 0.4715328514575958, 0.4686131477355957, 0.4616788327693939, 0.4591240882873535, 0.4759124219417572, 0.4759124219417572, 0.47445255517959595, 0.47737225890159607, 0.4686131477355957, 0.4733576774597168, 0.47956204414367676, 0.48211678862571716, 0.4781021773815155, 0.49671533703804016, 0.4806569218635559, 0.49124088883399963, 0.4879561960697174, 0.4835766553878784, 0.4729926884174347, 0.4755474328994751, 0.468248188495636, 0.49598538875579834, 0.48905110359191895, 0.46240875124931335, 0.4930656850337982, 0.4923357665538788, 0.49854013323783875, 0.4879561960697174, 0.5102189779281616, 0.5492700934410095, 0.5215328335762024, 0.5478101968765259, 0.5729926824569702, 0.5284671783447266, 0.5992700457572937, 0.5773722529411316, 0.5492700934410095, 0.5324817299842834, 0.5675182342529297, 0.5467153191566467, 0.5970802903175354, 0.5357664227485657, 0.5277372002601624, 0.481021910905838, 0.5018247961997986, 0.5072992444038391, 0.5375912189483643, 0.5080292224884033]",0.2704203013481364,0.9142011834319527
model_bigger_biggest_lstm_v16,Adagrad,0.001,"[0.5426250696182251, 0.5741146206855774, 0.5758488774299622, 0.5879883170127869, 0.5806863903999329, 0.5890836119651794, 0.5905439853668213, 0.586162805557251, 0.5914567112922668, 0.5889010429382324, 0.5930996537208557, 0.5929171442985535, 0.5898138284683228, 0.5878057479858398, 0.5934647917747498, 0.5925520062446594, 0.5881708860397339, 0.5967506170272827, 0.5909090638160706, 0.5946513414382935, 0.593829870223999, 0.5990325212478638, 0.5985761284828186, 0.5998539328575134, 0.595746636390686, 0.6013143658638, 0.5952902436256409, 0.5923694968223572, 0.5987586975097656, 0.6002190709114075, 0.595381498336792, 0.597480833530426, 0.5973895788192749, 0.6001277565956116, 0.5986673831939697, 0.5982110500335693, 0.6014968752861023, 0.5998539328575134, 0.6039612889289856, 0.5991237759590149, 0.5991237759590149, 0.5991237759590149, 0.5985761284828186, 0.600949227809906, 0.6019532680511475, 0.6004015803337097, 0.6004928946495056, 0.602865993976593, 0.6024096608161926, 0.6033223867416382, 0.6034136414527893, 0.6042351126670837, 0.5982110500335693, 0.6010405421257019, 0.6035049557685852, 0.6026834845542908, 0.6036874651908875, 0.601131796836853, 0.60478276014328, 0.6055129766464233, 0.6056042313575745, 0.6051478385925293, 0.6024096608161926, 0.6012230515480042, 0.6056954860687256]","[0.6240875720977783, 0.5131387114524841, 0.5748175382614136, 0.5507299304008484, 0.6164233684539795, 0.6397809982299805, 0.5583941340446472, 0.5554744601249695, 0.5886861085891724, 0.5864963531494141, 0.6182481646537781, 0.5678831934928894, 0.5591241121292114, 0.5773722529411316, 0.5857664346694946, 0.5806569457054138, 0.564598560333252, 0.5821167826652527, 0.578102171421051, 0.5835766196250916, 0.5729926824569702, 0.6102190017700195, 0.6087591052055359, 0.5485401749610901, 0.6120437979698181, 0.564598560333252, 0.5613138675689697, 0.6051095128059387, 0.5981751680374146, 0.5718978047370911, 0.5883211493492126, 0.5704379677772522, 0.598905086517334, 0.592700719833374, 0.5737226009368896, 0.5923357605934143, 0.5759124159812927, 0.5850365161895752, 0.5569342970848083, 0.5992700457572937, 0.5729926824569702, 0.5770072937011719, 0.62189781665802, 0.6160584092140198, 0.6000000238418579, 0.5762773752212524, 0.5854014754295349, 0.5868613123893738, 0.598905086517334, 0.5883211493492126, 0.5919708013534546, 0.5912408828735352, 0.590146005153656, 0.5890510678291321, 0.5905109643936157, 0.5872262716293335, 0.5912408828735352, 0.6091240644454956, 0.5930656790733337, 0.581751823425293, 0.5638686418533325, 0.5733576416969299, 0.5937955975532532, 0.6036496162414551, 0.6014598608016968]",0.6034892942109437,0.5946745562130178
model_bigger_biggest_lstm_v16,Adam,0.001,"[0.48566994071006775, 0.5215407013893127, 0.5176159143447876, 0.5228185653686523, 0.5310332179069519, 0.5429901480674744, 0.5365096926689148, 0.5335888862609863, 0.5398868322372437, 0.5261043906211853, 0.5405257344245911, 0.5469149351119995, 0.5638919472694397, 0.5521175861358643, 0.5617926120758057, 0.5681818127632141, 0.5606973171234131, 0.5593281984329224, 0.5397955179214478, 0.549653172492981, 0.5332238078117371, 0.5654435753822327, 0.5505658984184265, 0.5572289228439331, 0.5554947257041931, 0.5517524480819702, 0.5604234933853149, 0.5538517832756042, 0.5622490048408508, 0.5694596767425537, 0.5740233659744263, 0.5735669732093811, 0.5664476156234741, 0.5605148077011108, 0.5600584149360657, 0.5697335004806519, 0.5609711408615112, 0.5727455019950867, 0.5703724026679993, 0.5596020221710205, 0.57000732421875, 0.5651697516441345, 0.558689296245575, 0.5706462264060974, 0.5793172717094421, 0.5716502666473389, 0.5791347026824951, 0.5759401321411133, 0.5669952630996704, 0.5732018947601318, 0.5878970623016357, 0.5813252925872803, 0.5907265543937683, 0.5851588249206543, 0.5850675702095032, 0.5904527306556702, 0.5961117148399353, 0.5916392803192139, 0.5906352400779724, 0.5962029695510864, 0.6017706990242004, 0.5993063449859619, 0.5834246277809143, 0.6026834845542908, 0.5961117148399353]","[0.5058394074440002, 0.4558394253253937, 0.5313868522644043, 0.520802915096283, 0.552554726600647, 0.6313868761062622, 0.5981751680374146, 0.5003649592399597, 0.4240875840187073, 0.5383211970329285, 0.6620438098907471, 0.4824817478656769, 0.537956178188324, 0.4956204295158386, 0.5686131119728088, 0.6372262835502625, 0.5412408709526062, 0.4737226366996765, 0.5737226009368896, 0.5040146112442017, 0.5467153191566467, 0.579197108745575, 0.5992700457572937, 0.5572992563247681, 0.5919708013534546, 0.5058394074440002, 0.5058394074440002, 0.5193430781364441, 0.6138685941696167, 0.55474454164505, 0.5554744601249695, 0.5821167826652527, 0.5937955975532532, 0.6291970610618591, 0.5697080492973328, 0.5430656671524048, 0.5328466892242432, 0.5627737045288086, 0.5478101968765259, 0.5178832411766052, 0.5959854125976562, 0.5007299184799194, 0.598905086517334, 0.5890510678291321, 0.5576642155647278, 0.5098540186882019, 0.6040145754814148, 0.5321167707443237, 0.5569342970848083, 0.5729926824569702, 0.5364963412284851, 0.625547468662262, 0.5478101968765259, 0.5722627639770508, 0.5124087333679199, 0.578102171421051, 0.5357664227485657, 0.5675182342529297, 0.5868613123893738, 0.5598540306091309, 0.564598560333252, 0.5981751680374146, 0.5343065857887268, 0.5850365161895752, 0.5682481527328491]",0.5305313243457573,0.6390532544378699
