model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_simple_ltsm,Adagrad,0.008,"[0.6422051787376404, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531]","[0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707]",1.0,0.0
model_simple_ltsm,Adagrad,0.001,"[0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531]","[0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707]",1.0,0.0
model_simple_ltsm,Adagrad,0.002,"[0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531]","[0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707]",1.0,0.0
model_simple_ltsm,Adam,0.001,"[0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.6637458801269531, 0.4264329969882965, 0.43391749262809753, 0.4331873059272766, 0.4675976634025574, 0.5341365337371826, 0.5206279754638672, 0.567725419998169, 0.5626140832901001, 0.5442679524421692, 0.5520262718200684, 0.5427163243293762, 0.5476451516151428, 0.5603322386741638, 0.5580503940582275, 0.5751186609268188, 0.5564987063407898, 0.564439594745636, 0.5703724026679993, 0.5759401321411133, 0.5730193257331848, 0.5662650465965271, 0.5766702890396118, 0.5796823501586914, 0.5915480256080627, 0.6044176816940308, 0.5933734774589539]","[0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.43065693974494934, 0.4291970729827881, 0.43905109167099, 0.47737225890159607, 0.5233576893806458, 0.437226265668869, 0.6153284907341003, 0.5598540306091309, 0.5521897673606873, 0.5452554821968079, 0.5335766673088074, 0.5565693378448486, 0.5025547742843628, 0.5324817299842834, 0.5806569457054138, 0.5620437860488892, 0.6204379796981812, 0.6160584092140198, 0.5302919745445251, 0.49343064427375793, 0.6000000238418579, 0.5248175263404846, 0.581751823425293, 0.5777372121810913, 0.62810218334198, 0.5489051342010498]",0.5908009516256939,0.591715976331361
model_simple_ltsm,Adam,0.0012,"[0.5962029695510864, 0.6041438579559326, 0.6080686450004578, 0.5916392803192139, 0.593647301197052, 0.5948339104652405, 0.5983935594558716, 0.6061518788337708, 0.6004928946495056, 0.6096202731132507, 0.6081598997116089, 0.5893574357032776, 0.6247718334197998, 0.6023183465003967, 0.5899050831794739, 0.6014968752861023, 0.5927345752716064, 0.6001277565956116, 0.6067907810211182, 0.593647301197052, 0.6118108630180359, 0.6129061579704285, 0.6083424687385559, 0.6130887269973755, 0.5990325212478638, 0.6059693098068237, 0.6041438579559326, 0.6059693098068237, 0.6119934320449829, 0.5858889818191528]","[0.5262773633003235, 0.56094890832901, 0.5580291748046875, 0.5795620679855347, 0.639051079750061, 0.6116788387298584, 0.5405109524726868, 0.5489051342010498, 0.579197108745575, 0.5503649711608887, 0.6259124279022217, 0.6131386756896973, 0.6014598608016968, 0.6087591052055359, 0.5894160866737366, 0.5682481527328491, 0.6087591052055359, 0.563503623008728, 0.5558394193649292, 0.6003649830818176, 0.6040145754814148, 0.5952554941177368, 0.6018248200416565, 0.56715327501297, 0.5729926824569702, 0.5810219049453735, 0.6003649830818176, 0.5839415788650513, 0.5970802903175354, 0.5226277112960815]",0.39280993920169177,0.7662721893491125
model_simple_ltsm,Adam,0.0014,"[0.595746636390686, 0.602865993976593, 0.5840635299682617, 0.5532128810882568, 0.5538517832756042, 0.5512048006057739, 0.5504746437072754, 0.5608798861503601, 0.584611177444458, 0.5813252925872803, 0.5912742018699646, 0.5972070097923279, 0.5770354270935059, 0.6108981370925903, 0.6087988018989563, 0.6111719608306885, 0.599215030670166, 0.588262140750885, 0.593647301197052, 0.599215030670166, 0.6014968752861023, 0.6021358370780945, 0.5817816853523254, 0.6062431335449219, 0.6068820953369141, 0.595564067363739, 0.5887185335159302, 0.6036874651908875, 0.6090726256370544, 0.588079571723938]","[0.5810219049453735, 0.5218977928161621, 0.5259124040603638, 0.5240876078605652, 0.5580291748046875, 0.5642336010932922, 0.5361313819885254, 0.5072992444038391, 0.5204379558563232, 0.5985401272773743, 0.6291970610618591, 0.5302919745445251, 0.6372262835502625, 0.5762773752212524, 0.6339415907859802, 0.6040145754814148, 0.5795620679855347, 0.5540146231651306, 0.5700730085372925, 0.5937955975532532, 0.5883211493492126, 0.5653284788131714, 0.5416058301925659, 0.5744525790214539, 0.5521897673606873, 0.5536496639251709, 0.5587591528892517, 0.6302919983863831, 0.5813868641853333, 0.5357664227485657]",0.35315886862278617,0.8284023668639053
model_simple_ltsm,Adam,0.002,"[0.5929171442985535, 0.5836984515190125, 0.5481927990913391, 0.558689296245575, 0.5585980415344238, 0.5568638443946838, 0.5577765703201294, 0.564439594745636, 0.5532128810882568, 0.5641657710075378, 0.5470975041389465, 0.5614275336265564, 0.5646221041679382, 0.555220901966095, 0.5549470782279968, 0.5669952630996704, 0.5669040083885193, 0.5841547846794128, 0.5806863903999329, 0.5763052105903625, 0.5631617307662964, 0.5525739192962646, 0.564439594745636, 0.590178906917572, 0.5693683624267578, 0.566356360912323, 0.5606973171234131, 0.5452719926834106, 0.5589631199836731, 0.558689296245575]","[0.56715327501297, 0.5302919745445251, 0.5270072817802429, 0.5386861562728882, 0.5507299304008484, 0.5529196858406067, 0.5182482004165649, 0.517153263092041, 0.5328466892242432, 0.5324817299842834, 0.5624087452888489, 0.5295620560646057, 0.5386861562728882, 0.5335766673088074, 0.5624087452888489, 0.5364963412284851, 0.6186131238937378, 0.5346715450286865, 0.5237226486206055, 0.6091240644454956, 0.550000011920929, 0.5357664227485657, 0.5503649711608887, 0.5937955975532532, 0.5624087452888489, 0.5094890594482422, 0.5423357486724854, 0.5160583853721619, 0.5656934380531311, 0.5364963412284851]",0.39756806767116043,0.7366863905325444
model_simple_ltsm,Nadam,0.001,"[0.571558952331543, 0.593829870223999, 0.5872581005096436, 0.6071559190750122, 0.5921869277954102, 0.5914567112922668, 0.6038700342178345, 0.595746636390686, 0.5977546572685242, 0.5995801091194153, 0.599397599697113, 0.6063344478607178, 0.6031398177146912, 0.6063344478607178, 0.5978459119796753, 0.6074297428131104, 0.6069733500480652, 0.6072471737861633, 0.6067907810211182, 0.5977546572685242, 0.6132712960243225, 0.5996714234352112, 0.6066082715988159, 0.608433723449707, 0.6075209975242615, 0.6042351126670837, 0.6064257025718689, 0.6051478385925293, 0.6092551946640015, 0.610350489616394]","[0.56094890832901, 0.537956178188324, 0.5572992563247681, 0.5452554821968079, 0.5824817419052124, 0.5912408828735352, 0.5777372121810913, 0.5726277232170105, 0.5868613123893738, 0.575547456741333, 0.5872262716293335, 0.5700730085372925, 0.5905109643936157, 0.5806569457054138, 0.5770072937011719, 0.5832116603851318, 0.5978102087974548, 0.592700719833374, 0.5718978047370911, 0.6014598608016968, 0.5854014754295349, 0.5861313939094543, 0.5846715569496155, 0.5854014754295349, 0.6058394312858582, 0.5649635195732117, 0.5726277232170105, 0.607299268245697, 0.6036496162414551, 0.5839415788650513]",0.5157282579962993,0.5059171597633136
model_simple_ltsm,Nadam,0.002,"[0.6004015803337097, 0.5987586975097656, 0.6093464493751526, 0.6119021773338318, 0.5973895788192749, 0.5946513414382935, 0.6074297428131104, 0.5989412069320679, 0.6062431335449219, 0.6024096608161926, 0.6004928946495056, 0.6055129766464233, 0.6090726256370544, 0.6002190709114075, 0.5932822227478027, 0.6054216623306274, 0.6015881896018982, 0.6070646047592163, 0.6019532680511475, 0.60304856300354, 0.6059693098068237, 0.5937386155128479, 0.5804125666618347, 0.5988499522209167, 0.6004928946495056, 0.6025009155273438, 0.5833333134651184, 0.5970244407653809, 0.6095290184020996, 0.5868017673492432]","[0.5419707894325256, 0.5591241121292114, 0.6036496162414551, 0.5178832411766052, 0.5937955975532532, 0.5846715569496155, 0.5602189898490906, 0.5912408828735352, 0.6000000238418579, 0.5868613123893738, 0.5850365161895752, 0.5795620679855347, 0.6014598608016968, 0.575547456741333, 0.5992700457572937, 0.5660583972930908, 0.5967153310775757, 0.5514598488807678, 0.5521897673606873, 0.6000000238418579, 0.5970802903175354, 0.581751823425293, 0.5879561901092529, 0.581751823425293, 0.5930656790733337, 0.5591241121292114, 0.5667883157730103, 0.6127737164497375, 0.5569342970848083, 0.575547456741333]",0.520750726936294,0.5414201183431953
model_simple_ltsm,Nadam,0.01,"[0.5156991481781006, 0.5023730993270874, 0.5067542791366577, 0.5384264588356018, 0.5308506488800049, 0.5136911273002625, 0.4995436370372772, 0.5011865496635437, 0.4992698132991791, 0.4977181553840637, 0.4939759075641632, 0.4903249442577362, 0.49981746077537537, 0.5168856978416443, 0.5021905899047852, 0.49780941009521484, 0.5608798861503601, 0.5084884762763977, 0.509036123752594, 0.5226359963417053, 0.5279299020767212, 0.5179809927940369, 0.5737495422363281, 0.5941036939620972, 0.5658087134361267, 0.6155531406402588, 0.6329864859580994, 0.6155531406402588, 0.5868017673492432, 0.6475903391838074]","[0.6675182580947876, 0.4562043845653534, 0.668248176574707, 0.4459854066371918, 0.4974452555179596, 0.668248176574707, 0.40656933188438416, 0.5200729966163635, 0.44233575463294983, 0.49197080731391907, 0.668248176574707, 0.41204380989074707, 0.4711678922176361, 0.5536496639251709, 0.5343065857887268, 0.481021910905838, 0.3328467011451721, 0.4346715211868286, 0.43905109167099, 0.487226277589798, 0.4930656850337982, 0.6675182580947876, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.3328467011451721, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707]",1.0,0.0
