@RELATION fixation_to_clicks_a

@ATTRIBUTE FPOGX REAL
@ATTRIBUTE FPOGY REAL 
@ATTRIBUTE FPOGS REAL
@ATTRIBUTE FPOGD REAL 
@ATTRIBUTE CS {0,1}

@DATA
0.58276,0.29239,0.80368,0.18781,0
0.58236,0.29268,0.80368,0.19461,0
0.58187,0.2927,0.80368,0.20056,0
0.58181,0.29309,0.80368,0.20773,1
0.58176,0.29346,0.80368,0.21439,0
0.58252,0.29308,0.80368,0.22128,0
0.58403,0.29185,0.80368,0.22787,0
0.58546,0.29068,0.80368,0.23407,0
0.58656,0.28961,0.80368,0.24109,0
0.58811,0.28876,0.80368,0.24835,0
0.58957,0.28795,0.80368,0.25443,0
0.5911,0.2868,0.80368,0.26129,0
0.61644,0.26969,0.80368,0.26129,0
0.63483,0.25667,0.80368,0.26129,0
0.64137,0.25547,0.80368,0.26129,0
0.64328,0.2629,1.07178,0.02039,0
0.64442,0.26735,1.07178,0.0267,0
0.64326,0.27169,1.07178,0.03357,0
0.64273,0.27438,1.07178,0.04034,0
0.64276,0.2742,1.07178,0.04706,0
0.64357,0.27003,1.07178,0.05353,0
0.64459,0.26532,1.07178,0.06033,0
0.64542,0.26146,1.07178,0.06702,0
0.6456,0.25895,1.07178,0.07376,0
0.64471,0.25781,1.07178,0.08011,0
0.6437,0.25812,1.07178,0.08688,0
0.64396,0.25863,1.07178,0.09384,0
0.64399,0.2588,1.07178,0.10068,0
0.64402,0.25895,1.07178,0.10733,0
0.64387,0.25866,1.07178,0.11386,0
0.64367,0.25789,1.07178,0.12067,0
0.64349,0.25721,1.07178,0.12723,0
0.64283,0.25566,1.07178,0.13391,0
0.64285,0.25486,1.07178,0.14059,0
0.64286,0.25412,1.07178,0.14706,0
0.64293,0.25493,1.07178,0.15381,0
0.64291,0.25581,1.07178,0.16068,0
0.64289,0.25663,1.07178,0.16782,0
0.64311,0.25648,1.07178,0.17447,0
0.64149,0.25668,1.07178,0.18118,0
0.64008,0.25624,1.07178,0.18759,0
0.6365,0.25228,1.07178,0.19464,0
0.61215,0.23078,1.07178,0.19464,0
0.54628,0.16586,1.07178,0.19464,0
0.50491,0.12979,1.07178,0.19464,0
0.43582,0.07763,1.07178,0.19464,0
0.42035,0.07597,1.07178,0.19464,0
0.41973,0.05273,1.07178,0.19464,0
0.41674,0.05172,1.29254,0.02032,0
0.4151,0.04667,1.29254,0.02682,0
0.4156,0.04014,1.29254,0.03366,0
0.41477,0.03322,1.29254,0.04041,0
0.41415,0.02803,1.29254,0.04736,0
0.41654,0.02954,1.29254,0.05408,0
0.41635,0.02573,1.29254,0.0603,0
0.41619,0.02261,1.29254,0.06702,0
0.41561,0.02182,1.29254,0.07349,0
0.41518,0.02179,1.29254,0.08057,0
0.4147,0.02473,1.29254,0.08749,0
0.41737,0.03002,1.29254,0.09375,0
0.41941,0.03771,1.29254,0.10083,0
0.42114,0.04577,1.29254,0.10767,0
0.42377,0.05104,1.29254,0.11429,0
0.42648,0.05558,1.29254,0.12064,0
0.429,0.05873,1.29254,0.12726,0
0.44202,0.08535,1.29254,0.12726,0
0.4566,0.10219,1.29254,0.12726,0
0.46146,0.1078,1.29254,0.12726,0
0.45986,0.11675,1.42664,0.0202,0
0.46411,0.11292,1.42664,0.02686,0
0.46694,0.11037,1.42664,0.03336,0
0.46852,0.1112,1.42664,0.03986,0
0.46772,0.11465,1.42664,0.04727,0
0.46698,0.11939,1.42664,0.05396,0
0.46767,0.12047,1.42664,0.0607,0
0.46741,0.12266,1.42664,0.06705,0
0.46719,0.12448,1.42664,0.07413,0
0.46785,0.12555,1.42664,0.08063,0
0.46792,0.124,1.42664,0.08731,0
0.46806,0.12136,1.42664,0.09415,0
0.46762,0.11947,1.42664,0.10065,0
0.46841,0.11797,1.42664,0.10712,0
0.46912,0.11663,1.42664,0.11395,0
0.46878,0.11474,1.42664,0.12061,0
0.46917,0.113,1.42664,0.12735,0
0.46953,0.11143,1.42664,0.13397,0
