model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_bigger_biggest_lstm,Adagrad,0.008,"[0.6366374492645264, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
model_bigger_biggest_lstm,Adagrad,0.001,"[0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
model_bigger_biggest_lstm,Adagrad,0.002,"[0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
model_bigger_biggest_lstm,Adam,0.001,"[0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
model_bigger_biggest_lstm,Adam,0.0012,"[0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
model_bigger_biggest_lstm,Adam,0.0014,"[0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
model_bigger_biggest_lstm,Adam,0.0018,"[0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6447608470916748, 0.6504198908805847, 0.6678532361984253, 0.663472056388855, 0.6668491959571838, 0.661737859249115, 0.6725994944572449]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7408758997917175, 0.7372262477874756, 0.7368612885475159, 0.7383211851119995, 0.7003649473190308, 0.7386861443519592]",0.9939201691779012,0.03254437869822485
model_bigger_biggest_lstm,Adam,0.002,"[0.6677619814872742, 0.6691310405731201, 0.6639284491539001, 0.6739686131477356, 0.667305588722229, 0.6680358052253723, 0.6696786880493164, 0.667123019695282, 0.6656626462936401, 0.6677619814872742, 0.663472056388855, 0.6599123477935791, 0.6702263355255127, 0.6605513095855713, 0.6553486585617065, 0.6661190390586853, 0.6741511225700378, 0.6622855067253113, 0.6680358052253723, 0.6657539010047913, 0.6569916009902954, 0.6684008836746216, 0.6604599952697754, 0.6590909361839294, 0.6622855067253113, 0.6713216304779053, 0.6746987700462341, 0.6742424368858337, 0.667123019695282, 0.6702263355255127]","[0.7343065738677979, 0.7368612885475159, 0.7364963293075562, 0.7350364923477173, 0.7273722887039185, 0.7295620441436768, 0.732846736907959, 0.712043821811676, 0.7142335772514343, 0.7357664108276367, 0.7372262477874756, 0.7218977808952332, 0.7364963293075562, 0.7131386995315552, 0.7408758997917175, 0.6981751918792725, 0.7383211851119995, 0.7160583734512329, 0.7083941698074341, 0.7193430662155151, 0.7240875959396362, 0.7335766553878784, 0.7149634957313538, 0.7047445178031921, 0.7131386995315552, 0.7109488844871521, 0.7248175144195557, 0.7277372479438782, 0.7164233326911926, 0.7229927182197571]",0.9748876553000264,0.08284023668639054
model_bigger_biggest_lstm,Adam,0.01,"[0.6108068823814392, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
model_bigger_biggest_lstm,Nadam,0.001,"[0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218, 0.6449434161186218]","[0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803, 0.7434306740760803]",1.0,0.0
