@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

fixation_to_clicks_a,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25259,2806,2797,9,0,99.679259,0.320741,0,0,0.006673,0.056615,100.658036,100.125783,87.556582,93.119346,-5.562764,0.031203,0.033186,-0.001982,-635.223145,-0.22638,-725.500165,1,2797,1,9,0,0,0,0,0.996793,1,0.998394,?,0.383665,0.995019,0.996793,0.996793,0.003207,0.003207,?,0.996793,?,?,0.383665,0.991837,?,0.996793,0.013,0.003,0.015625,0,15.625,0,2635,1744124,194867,99.679259,50,?
fixation_to_clicks_a,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25258,2807,2797,10,0,99.643748,0.356252,0,0,0.00695,0.059569,100.103264,99.980862,95.744734,94.513432,1.231302,0.034109,0.033671,0.000439,-536.023508,-0.19096,-559.846461,1,2797,1,10,0,0,0,0,0.996437,1,0.998216,?,0.615767,0.998014,0.996437,0.996437,0.003563,0.003563,?,0.996437,?,?,0.615767,0.994479,?,0.996437,0.013,0.006,0.015625,0,15.625,0,2635,1744055,194936,99.643748,50,?
fixation_to_clicks_a,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25258,2807,2797,10,0,99.643748,0.356252,0,0,0.007022,0.059624,101.143527,100.072501,95.744734,98.606499,-2.861765,0.034109,0.035129,-0.00102,-624.280914,-0.222401,-652.026368,1,2797,1,10,0,0,0,0,0.996437,1,0.998216,?,0.491777,0.996116,0.996437,0.996437,0.003563,0.003563,?,0.996437,?,?,0.491777,0.992581,?,0.996437,0.013,0.002,0.015625,0,15.625,0,2635,1744055,194936,99.643748,50,?
fixation_to_clicks_a,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25258,2807,2797,10,0,99.643748,0.356252,0,0,0.00698,0.059592,100.537339,100.019348,95.744734,96.401576,-0.656842,0.034109,0.034343,-0.000234,-550.20617,-0.196012,-574.659456,1,2797,1,10,0,0,0,0,0.996437,1,0.998216,?,0.521809,0.996978,0.996437,0.996437,0.003563,0.003563,?,0.996437,?,?,0.521809,0.993441,?,0.996437,0.013,0.003,0.015625,0,15.625,0,2635,1744055,194936,99.643748,50,?
fixation_to_clicks_a,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25258,2807,2797,10,0,99.643748,0.356252,0,0,0.006996,0.059581,100.759318,100.000528,95.744734,95.309264,0.43547,0.034109,0.033954,0.000155,-539.005654,-0.192022,-562.961146,1,2797,1,10,0,0,0,0,0.996437,1,0.998216,?,0.575331,0.997609,0.996437,0.996437,0.003563,0.003563,?,0.996437,?,?,0.575331,0.994071,?,0.996437,0.013,0.002,0.015625,0,15.625,0,2635,1744055,194936,99.643748,50,?
fixation_to_clicks_a,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25258,2807,2797,10,0,99.643748,0.356252,0,0,0.006981,0.059563,100.55334,99.970207,95.744734,95.29259,0.452145,0.034109,0.033948,0.000161,-551.895716,-0.196614,-576.424091,1,2797,1,10,0,0,0,0,0.996437,1,0.998216,?,0.588595,0.99665,0.996437,0.996437,0.003563,0.003563,?,0.996437,?,?,0.588595,0.99313,?,0.996437,0.013,0.002,0.015625,0,15.625,0,2635,1744055,194936,99.643748,50,?
fixation_to_clicks_a,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25259,2806,2797,9,0,99.679259,0.320741,0,0,0.006702,0.056527,101.096524,99.969817,87.556582,86.673722,0.88286,0.031203,0.030889,0.000315,-571.229106,-0.203574,-652.411384,1,2797,1,9,0,0,0,0,0.996793,1,0.998394,?,0.631431,0.997198,0.996793,0.996793,0.003207,0.003207,?,0.996793,?,?,0.631431,0.99402,?,0.996793,0.013,0.002,0.015625,0,15.625,0,2635,1744124,194867,99.679259,50,?
fixation_to_clicks_a,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25259,2806,2797,9,0,99.679259,0.320741,0,0,0.006648,0.056567,100.280228,100.041121,87.556582,89.010064,-1.453482,0.031203,0.031721,-0.000518,-580.483271,-0.206872,-662.980737,1,2797,1,9,0,0,0,0,0.996793,1,0.998394,?,0.499543,0.996638,0.996793,0.996793,0.003207,0.003207,?,0.996793,?,?,0.499543,0.993453,?,0.996793,0.014,0.002,0,0.015625,0,15.625,2635,1744124,194867,99.679259,50,?
fixation_to_clicks_a,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25259,2806,2797,9,0,99.679259,0.320741,0,0,0.00673,0.056545,101.515891,100.002433,87.556582,87.488872,0.06771,0.031203,0.031179,0.000024,-588.834053,-0.209848,-672.518321,1,2797,1,9,0,0,0,0,0.996793,1,0.998394,?,0.565268,0.997333,0.996793,0.996793,0.003207,0.003207,?,0.996793,?,?,0.565268,0.99415,?,0.996793,0.012,0.005,0.015625,0,15.625,0,2635,1744124,194867,99.679259,50,?
fixation_to_clicks_a,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230910.0033,25259,2806,2797,9,0,99.679259,0.320741,0,0,0.006743,0.056527,101.714173,99.970982,87.556582,86.712561,0.844021,0.031203,0.030903,0.000301,-593.070615,-0.211358,-677.356977,1,2797,1,9,0,0,0,0,0.996793,1,0.998394,?,0.607675,0.997525,0.996793,0.996793,0.003207,0.003207,?,0.996793,?,?,0.607675,0.994354,?,0.996793,0.014,0.005,0.015625,0.015625,15.625,15.625,2635,1744124,194867,99.679259,50,?
