model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_bigger_biggest_lstm,Adagrad,0.008,"[0.5923694968223572, 0.5764877796173096, 0.5561336278915405, 0.5585980415344238, 0.5301204919815063, 0.5340452790260315, 0.5357794761657715, 0.5309419631958008, 0.5265607833862305, 0.5307593941688538, 0.5433552265167236, 0.5452719926834106, 0.5366009473800659, 0.551569938659668, 0.551387369632721, 0.5593281984329224, 0.549653172492981, 0.5647134184837341, 0.5634355545043945, 0.6010405421257019, 0.5785870552062988, 0.5819641947746277, 0.6074297428131104, 0.5991237759590149, 0.6016794443130493, 0.6082512140274048, 0.6074297428131104, 0.6060606241226196, 0.6141840219497681, 0.6050565838813782]","[0.6678832173347473, 0.5288321375846863, 0.5284671783447266, 0.5094890594482422, 0.5562043786048889, 0.5667883157730103, 0.5204379558563232, 0.5051094889640808, 0.5189781188964844, 0.5390511155128479, 0.5343065857887268, 0.5251824855804443, 0.5481751561164856, 0.5262773633003235, 0.5405109524726868, 0.5324817299842834, 0.56094890832901, 0.5295620560646057, 0.6412408947944641, 0.5883211493492126, 0.5569342970848083, 0.6259124279022217, 0.6237226128578186, 0.5270072817802429, 0.6142335534095764, 0.5478101968765259, 0.5762773752212524, 0.6193430423736572, 0.6058394312858582, 0.6062043905258179]",0.6399682791435368,0.5355029585798816
model_bigger_biggest_lstm,Adagrad,0.001,"[0.613818883895874, 0.619386613368988, 0.6179262399673462, 0.6201168298721313, 0.6192953586578369, 0.6224899888038635, 0.6214859485626221, 0.621394693851471, 0.6215772032737732, 0.6204819083213806, 0.6223986744880676, 0.6233114004135132, 0.6229463219642639, 0.6234939694404602, 0.623037576675415, 0.6236765384674072, 0.6227637529373169, 0.6240416169166565, 0.6239503622055054, 0.6219423413276672, 0.6239503622055054, 0.6231288909912109, 0.625045657157898, 0.6258671283721924, 0.6244066953659058, 0.6244066953659058, 0.6231288909912109, 0.6244980096817017, 0.6242241859436035, 0.6241328716278076]","[0.6094890236854553, 0.607299268245697, 0.6091240644454956, 0.6091240644454956, 0.6083941459655762, 0.613503634929657, 0.6098540425300598, 0.6051095128059387, 0.6098540425300598, 0.6116788387298584, 0.6175182461738586, 0.6102190017700195, 0.6098540425300598, 0.6098540425300598, 0.6113138794898987, 0.6124087572097778, 0.6127737164497375, 0.610948920249939, 0.613503634929657, 0.6127737164497375, 0.6116788387298584, 0.6145985126495361, 0.6153284907341003, 0.6094890236854553, 0.6138685941696167, 0.6120437979698181, 0.6131386756896973, 0.6164233684539795, 0.6138685941696167, 0.613503634929657]",0.6367961934972244,0.5177514792899408
model_bigger_biggest_lstm,Adagrad,0.002,"[0.6005841493606567, 0.619386613368988, 0.6171960830688477, 0.6206644773483276, 0.6209383010864258, 0.6247718334197998, 0.6251369118690491, 0.6244066953659058, 0.6244980096817017, 0.6256845593452454, 0.6265972852706909, 0.6276925802230835, 0.6276013255119324, 0.6273275017738342, 0.6243154406547546, 0.6292442679405212, 0.6258671283721924, 0.6263234615325928, 0.628696620464325, 0.6261409521102905, 0.6263234615325928, 0.6265972852706909, 0.6284227967262268, 0.6300657391548157, 0.628696620464325, 0.6281489729881287, 0.6274187564849854, 0.6273275017738342, 0.6285140514373779, 0.6260496377944946]","[0.6167883276939392, 0.5992700457572937, 0.6153284907341003, 0.6105839610099792, 0.6178832054138184, 0.6186131238937378, 0.6149635314941406, 0.6080291867256165, 0.6142335534095764, 0.6182481646537781, 0.6204379796981812, 0.6131386756896973, 0.6178832054138184, 0.6102190017700195, 0.6189780831336975, 0.6175182461738586, 0.6175182461738586, 0.6153284907341003, 0.6200730204582214, 0.6189780831336975, 0.6153284907341003, 0.6211678981781006, 0.6208029389381409, 0.5861313939094543, 0.6131386756896973, 0.6054744720458984, 0.6175182461738586, 0.6186131238937378, 0.613503634929657, 0.6156934499740601]",0.6463124504361618,0.5177514792899408
model_bigger_biggest_lstm,Adam,0.001,"[0.5298466682434082, 0.5521175861358643, 0.5426250696182251, 0.5826031565666199, 0.5673603415489197, 0.5670865178108215, 0.5780394077301025, 0.560788631439209, 0.567725419998169, 0.5733844637870789, 0.5733844637870789, 0.5671777725219727, 0.5690032839775085, 0.5697335004806519, 0.5729280710220337, 0.5784958004951477, 0.5682730674743652, 0.5805038213729858, 0.5905439853668213, 0.567907989025116, 0.5817816853523254, 0.5648046731948853, 0.5821467638015747, 0.578860878944397, 0.5918218493461609, 0.6070646047592163, 0.5829682350158691, 0.5923694968223572, 0.5834246277809143, 0.5977546572685242]","[0.5270072817802429, 0.5678831934928894, 0.6346715092658997, 0.5098540186882019, 0.6587591171264648, 0.5985401272773743, 0.5631386637687683, 0.49416059255599976, 0.47664234042167664, 0.5529196858406067, 0.6485401391983032, 0.5138686299324036, 0.5302919745445251, 0.5295620560646057, 0.5930656790733337, 0.5587591528892517, 0.5445255637168884, 0.5605839490890503, 0.4751824736595154, 0.6251825094223022, 0.5686131119728088, 0.5744525790214539, 0.6251825094223022, 0.6397809982299805, 0.6649634838104248, 0.55474454164505, 0.5324817299842834, 0.6018248200416565, 0.6167883276939392, 0.6076642274856567]",0.7190060798308221,0.40236686390532544
model_bigger_biggest_lstm,Adam,0.0012,"[0.5834246277809143, 0.5605148077011108, 0.5810514688491821, 0.567725419998169, 0.5288426280021667, 0.5432639718055725, 0.5648046731948853, 0.5526652336120605, 0.5597845911979675, 0.5852500796318054, 0.5848850011825562, 0.5772179365158081, 0.5924607515335083, 0.5885359644889832, 0.5916392803192139, 0.5972070097923279, 0.5892661809921265, 0.6059693098068237, 0.6087075471878052, 0.5990325212478638, 0.6001277565956116, 0.5967506170272827, 0.6131799817085266, 0.6112632155418396, 0.6040526032447815, 0.6096202731132507, 0.6079773902893066, 0.6033223867416382, 0.6219423413276672, 0.6171960830688477]","[0.5551095008850098, 0.5613138675689697, 0.5616788268089294, 0.537956178188324, 0.5766423344612122, 0.6328467130661011, 0.6025547385215759, 0.6014598608016968, 0.4901459813117981, 0.5784671306610107, 0.6248174905776978, 0.5715328454971313, 0.5262773633003235, 0.5543795824050903, 0.578102171421051, 0.5711678862571716, 0.6182481646537781, 0.5072992444038391, 0.5540146231651306, 0.6386861205101013, 0.6423357725143433, 0.6306569576263428, 0.645255446434021, 0.6310219168663025, 0.6642335653305054, 0.5905109643936157, 0.564598560333252, 0.6324817538261414, 0.6240875720977783, 0.5879561901092529]",0.661908538197198,0.46153846153846156
model_bigger_biggest_lstm,Adam,0.0014,"[0.6099854111671448, 0.6133625507354736, 0.6023183465003967, 0.6098028421401978, 0.5872581005096436, 0.5872581005096436, 0.6097115874290466, 0.5962942838668823, 0.591913104057312, 0.623037576675415, 0.6032311320304871, 0.5994888544082642, 0.5693683624267578, 0.5652610659599304, 0.5537604689598083, 0.6067907810211182, 0.6002190709114075, 0.6036874651908875, 0.6108068823814392, 0.6119934320449829, 0.6190215349197388, 0.6202080845832825, 0.6202080845832825, 0.6285140514373779, 0.6216685175895691, 0.6330777406692505, 0.6349945068359375, 0.6387367844581604, 0.6432092189788818, 0.6313435435295105]","[0.5751824975013733, 0.5357664227485657, 0.6602189540863037, 0.5824817419052124, 0.6149635314941406, 0.5795620679855347, 0.5897810459136963, 0.5040146112442017, 0.4824817478656769, 0.5864963531494141, 0.6372262835502625, 0.552554726600647, 0.5390511155128479, 0.5215328335762024, 0.6321167945861816, 0.6087591052055359, 0.6306569576263428, 0.49416059255599976, 0.5328466892242432, 0.6554744243621826, 0.6222627758979797, 0.6361314058303833, 0.6423357725143433, 0.6321167945861816, 0.6591240763664246, 0.531751811504364, 0.6156934499740601, 0.6492700576782227, 0.6704379320144653, 0.6036496162414551]",0.6949510970129527,0.3816568047337278
model_bigger_biggest_lstm,Adam,0.0018,"[0.6257758140563965, 0.6268711090087891, 0.6090726256370544, 0.5883533954620361, 0.5899050831794739, 0.6113545298576355, 0.6393756866455078, 0.6128149032592773, 0.6347206830978394, 0.6375501751899719, 0.6387367844581604, 0.6363636255264282, 0.6391018629074097, 0.6295180916786194, 0.6454910635948181, 0.6463125348091125, 0.6222161650657654, 0.6276925802230835, 0.6403797268867493, 0.6436655521392822, 0.6378239989280701, 0.6464950442314148, 0.6467688679695129, 0.650784969329834, 0.6485943794250488, 0.6455823183059692, 0.6347206830978394, 0.6356334686279297, 0.6463125348091125, 0.645034670829773]","[0.5332117080688477, 0.5091241002082825, 0.668248176574707, 0.5448905229568481, 0.6547445058822632, 0.6445255279541016, 0.6288321018218994, 0.6051095128059387, 0.6076642274856567, 0.5624087452888489, 0.6518248319625854, 0.5905109643936157, 0.5598540306091309, 0.6014598608016968, 0.6368613243103027, 0.6321167945861816, 0.6142335534095764, 0.6547445058822632, 0.6335766315460205, 0.6478102207183838, 0.651094913482666, 0.6675182580947876, 0.6591240763664246, 0.6591240763664246, 0.6638686060905457, 0.535401463508606, 0.5828467011451721, 0.6408759355545044, 0.6762773990631104, 0.6171532869338989]",0.7420037007665874,0.378698224852071
model_bigger_biggest_lstm,Adam,0.002,"[0.6436655521392822, 0.64521723985672, 0.606699526309967, 0.575575053691864, 0.542259931564331, 0.5455458164215088, 0.5430814027786255, 0.5446330904960632, 0.5553121566772461, 0.5488317012786865, 0.5485578775405884, 0.5468236804008484, 0.5452719926834106, 0.5431727170944214, 0.5439028739929199, 0.5590543746948242, 0.5559510588645935, 0.5553121566772461, 0.547918975353241, 0.5449069142341614, 0.5419861078262329, 0.5407995581626892, 0.543994128704071, 0.555038332939148, 0.5419861078262329, 0.5493793487548828, 0.5524826645851135, 0.5502008199691772, 0.555220901966095, 0.6099854111671448]","[0.6164233684539795, 0.5762773752212524, 0.6642335653305054, 0.5251824855804443, 0.550000011920929, 0.6105839610099792, 0.5324817299842834, 0.5240876078605652, 0.508394181728363, 0.5240876078605652, 0.5237226486206055, 0.5284671783447266, 0.5273722410202026, 0.5489051342010498, 0.5459854006767273, 0.5423357486724854, 0.5784671306610107, 0.5361313819885254, 0.531751811504364, 0.5540146231651306, 0.5434306859970093, 0.5532846450805664, 0.5416058301925659, 0.510948896408081, 0.5649635195732117, 0.5178832411766052, 0.5591241121292114, 0.5452554821968079, 0.5507299304008484, 0.6036496162414551]",0.7084324610097806,0.4319526627218935
model_bigger_biggest_lstm,Adam,0.01,"[0.5567725300788879, 0.5556772351264954, 0.5500182509422302, 0.5558598041534424, 0.5410733819007874, 0.568090558052063, 0.5545819401741028, 0.5681818127632141, 0.5686382055282593, 0.5645308494567871, 0.5892661809921265, 0.5803213119506836, 0.5634355545043945, 0.562522828578949, 0.5624315738677979, 0.5636181235313416, 0.5604234933853149, 0.5648959279060364, 0.5675429105758667, 0.5504746437072754, 0.564257025718689, 0.5850675702095032, 0.549653172492981, 0.5674515962600708, 0.5544906854629517, 0.575392484664917, 0.5805038213729858, 0.5617013573646545, 0.5666301846504211, 0.5481014847755432]","[0.6711679100990295, 0.5010948777198792, 0.6784671545028687, 0.4948905110359192, 0.6704379320144653, 0.6503649353981018, 0.5149635076522827, 0.4802919626235962, 0.4437956213951111, 0.48394161462783813, 0.6770073175430298, 0.48467153310775757, 0.6759123802185059, 0.48941606283187866, 0.6821168065071106, 0.49854013323783875, 0.4737226366996765, 0.4857664108276367, 0.48686131834983826, 0.6766423583030701, 0.6317518353462219, 0.6412408947944641, 0.6459854245185852, 0.4828467071056366, 0.6795620322227478, 0.5018247961997986, 0.466423362493515, 0.6740875840187073, 0.6835766434669495, 0.6810218691825867]",0.9910124240021148,0.03254437869822485
model_bigger_biggest_lstm,Nadam,0.001,"[0.5831508040428162, 0.5864366292953491, 0.5762139558792114, 0.6029573082923889, 0.560606062412262, 0.5718327760696411, 0.6054216623306274, 0.5878970623016357, 0.5909090638160706, 0.5925520062446594, 0.5898138284683228, 0.5999452471733093, 0.580960214138031, 0.5798649191856384, 0.5543081164360046, 0.5998539328575134, 0.5530303120613098, 0.5931909680366516, 0.5820555090904236, 0.5833333134651184, 0.5744797587394714, 0.5522088408470154, 0.5791347026824951, 0.57000732421875, 0.5537604689598083, 0.582876980304718, 0.5683643817901611, 0.5545819401741028, 0.5763964653015137, 0.5673603415489197]","[0.6532846689224243, 0.4970802962779999, 0.6656934022903442, 0.5036496520042419, 0.6576642394065857, 0.6638686060905457, 0.6576642394065857, 0.5010948777198792, 0.6664233803749084, 0.5003649592399597, 0.6697080135345459, 0.49817517399787903, 0.6609489321708679, 0.6602189540863037, 0.6638686060905457, 0.5102189779281616, 0.6751824617385864, 0.510948896408081, 0.6569343209266663, 0.6613138914108276, 0.49854013323783875, 0.6543795466423035, 0.6627737283706665, 0.5072992444038391, 0.6591240763664246, 0.5051094889640808, 0.5007299184799194, 0.6686131358146667, 0.5076642632484436, 0.5032846927642822]",0.23552735923869944,0.9408284023668639
