model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_bigger_biggest_lstm_v16,Adagrad,0.001,"[0.3399050831794739, 0.3362541198730469, 0.3362541198730469, 0.3559693396091461, 0.3504016101360321, 0.3973165452480316, 0.4817451536655426, 0.4952537417411804, 0.5039247870445251, 0.4969879388809204, 0.494432270526886, 0.5078495740890503, 0.5010952949523926, 0.5046550035476685, 0.516338050365448, 0.5248265862464905, 0.5320372581481934, 0.5295728445053101, 0.5365096926689148, 0.5443592667579651, 0.5485578775405884, 0.5411646366119385, 0.5425337553024292, 0.5523000955581665, 0.5520262718200684, 0.5637093782424927, 0.5516611933708191, 0.5492880344390869, 0.5547645092010498, 0.5557685494422913, 0.5512048006057739, 0.5638006329536438, 0.5645308494567871, 0.5759401321411133, 0.5722891688346863, 0.5669952630996704, 0.577126681804657, 0.575575053691864, 0.5762139558792114, 0.5776743292808533, 0.5826031565666199, 0.5960204601287842, 0.5886272192001343, 0.5931909680366516, 0.6010405421257019]","[0.33175182342529297, 0.33175182342529297, 0.33175182342529297, 0.33175182342529297, 0.3755474388599396, 0.4543795585632324, 0.47481751441955566, 0.47919708490371704, 0.4806569218635559, 0.5032846927642822, 0.5091241002082825, 0.5021897554397583, 0.48649635910987854, 0.5087591409683228, 0.5193430781364441, 0.5240876078605652, 0.5266423225402832, 0.5390511155128479, 0.5383211970329285, 0.5397810339927673, 0.5313868522644043, 0.5394160747528076, 0.5405109524726868, 0.5416058301925659, 0.5554744601249695, 0.5310218930244446, 0.546350359916687, 0.5587591528892517, 0.5620437860488892, 0.5540146231651306, 0.5689781308174133, 0.5602189898490906, 0.5678831934928894, 0.5740876197814941, 0.5602189898490906, 0.5678831934928894, 0.5613138675689697, 0.5653284788131714, 0.552554726600647, 0.5883211493492126, 0.5784671306610107, 0.5704379677772522, 0.6014598608016968, 0.604744553565979, 0.6018248200416565]",0.6656093047845625,0.47337278106508873
model_bigger_biggest_lstm_v16,Adam,0.001,"[0.4794633090496063, 0.4909638464450836, 0.5114092826843262, 0.5119569301605225, 0.5426250696182251, 0.5296640992164612, 0.5382438898086548, 0.522088348865509, 0.5329499840736389, 0.5209930539131165, 0.5523000955581665, 0.5308506488800049, 0.5540342926979065, 0.5462760329246521, 0.5441766977310181, 0.5463672876358032, 0.5624315738677979, 0.5537604689598083, 0.5590543746948242, 0.5699160099029541, 0.5744797587394714, 0.5665388703346252, 0.5587805509567261, 0.5777655839920044, 0.5436290502548218, 0.5435377955436707, 0.5302117466926575, 0.5345929265022278, 0.5387915372848511, 0.5414384603500366, 0.5456370711326599, 0.5498356819152832, 0.5442679524421692, 0.547918975353241, 0.557137668132782, 0.5506571531295776, 0.5582329034805298, 0.5615187883377075, 0.5526652336120605, 0.5489229559898376, 0.5467323660850525, 0.5536692142486572, 0.5412559509277344, 0.5654435753822327, 0.5638919472694397]","[0.43284672498703003, 0.4638686180114746, 0.4653284549713135, 0.5397810339927673, 0.6167883276939392, 0.5697080492973328, 0.5412408709526062, 0.47737225890159607, 0.4156934320926666, 0.6620438098907471, 0.6675182580947876, 0.5113138556480408, 0.5434306859970093, 0.48941606283187866, 0.5277372002601624, 0.6332116723060608, 0.535401463508606, 0.4970802962779999, 0.5649635195732117, 0.6032846570014954, 0.578102171421051, 0.5532846450805664, 0.6051095128059387, 0.4835766553878784, 0.6543795466423035, 0.525547444820404, 0.5507299304008484, 0.535401463508606, 0.5215328335762024, 0.5470802783966064, 0.45510947704315186, 0.48868614435195923, 0.5240876078605652, 0.5850365161895752, 0.5481751561164856, 0.5324817299842834, 0.5240876078605652, 0.5266423225402832, 0.5215328335762024, 0.5262773633003235, 0.5675182342529297, 0.5346715450286865, 0.5521897673606873, 0.5894160866737366, 0.5441606044769287]",0.4358974358974359,0.5562130177514792
model_bigger_biggest_lstm_v16,Adam,0.0018,"[0.5475538372993469, 0.5722891688346863, 0.5557685494422913, 0.567907989025116, 0.5849762558937073, 0.5822380185127258, 0.5532128810882568, 0.5512048006057739, 0.5489229559898376, 0.5555859804153442, 0.5669040083885193, 0.5531215667724609, 0.5633442997932434, 0.5549470782279968, 0.5575027465820312, 0.5609711408615112, 0.5766702890396118, 0.5721978545188904, 0.5630704760551453, 0.5765790343284607, 0.5820555090904236, 0.5671777725219727, 0.578860878944397, 0.5619751811027527, 0.5688207149505615, 0.5810514688491821, 0.5596020221710205, 0.5592369437217712, 0.57000732421875, 0.5707374811172485, 0.5695509314537048, 0.5811427235603333, 0.5805951356887817, 0.5793172717094421, 0.5951076745986938, 0.5829682350158691, 0.5912742018699646, 0.5864366292953491, 0.577126681804657, 0.5877144932746887, 0.5712851285934448, 0.5796823501586914, 0.565991222858429, 0.5693683624267578, 0.5535779595375061]","[0.55474454164505, 0.5244525671005249, 0.5021897554397583, 0.5448905229568481, 0.5879561901092529, 0.5762773752212524, 0.6251825094223022, 0.49197080731391907, 0.5182482004165649, 0.5667883157730103, 0.6339415907859802, 0.5222627520561218, 0.564598560333252, 0.5138686299324036, 0.5956204533576965, 0.6124087572097778, 0.5339416265487671, 0.49416059255599976, 0.46970802545547485, 0.6660584211349487, 0.5496350526809692, 0.5018247961997986, 0.5934306383132935, 0.6080291867256165, 0.6430656909942627, 0.5514598488807678, 0.5032846927642822, 0.5076642632484436, 0.5375912189483643, 0.535401463508606, 0.5372262597084045, 0.5594890713691711, 0.657299280166626, 0.62810218334198, 0.6667883396148682, 0.6299269795417786, 0.5653284788131714, 0.5397810339927673, 0.5182482004165649, 0.6164233684539795, 0.6813868880271912, 0.5777372121810913, 0.5908759236335754, 0.6711679100990295, 0.6594890356063843]",0.7784826856991806,0.39644970414201186
