model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_bigger_biggest_lstm,Adagrad,0.008,"[0.5292077660560608, 0.5237312912940979, 0.5202628970146179, 0.5387002825737, 0.5284775495529175, 0.5300292372703552, 0.5327674150466919, 0.5282949805259705, 0.5261043906211853, 0.5232748985290527, 0.5304855704307556, 0.5273822546005249, 0.5243701934814453, 0.5265607833862305, 0.5314896106719971, 0.5332238078117371, 0.5362358689308167, 0.5402519106864929, 0.5381526350975037, 0.5428075790405273, 0.5407995581626892, 0.538608968257904, 0.5438116192817688, 0.5480102300643921, 0.5472800135612488, 0.5490142107009888, 0.5493793487548828, 0.553304135799408, 0.5599671602249146, 0.5614275336265564]","[0.5751824975013733, 0.5003649592399597, 0.5328466892242432, 0.5178832411766052, 0.5324817299842834, 0.5386861562728882, 0.5193430781364441, 0.5032846927642822, 0.5160583853721619, 0.522992730140686, 0.5233576893806458, 0.5116788148880005, 0.5226277112960815, 0.5113138556480408, 0.5273722410202026, 0.5383211970329285, 0.5233576893806458, 0.5186131596565247, 0.5306569337844849, 0.537956178188324, 0.5178832411766052, 0.5602189898490906, 0.5299270153045654, 0.531751811504364, 0.5678831934928894, 0.5375912189483643, 0.5416058301925659, 0.5540146231651306, 0.5631386637687683, 0.5532846450805664]",0.44885011895321175,0.621301775147929
model_bigger_biggest_lstm,Adagrad,0.001,"[0.5645308494567871, 0.5647134184837341, 0.5650784969329834, 0.5674515962600708, 0.5652610659599304, 0.5643482804298401, 0.5648959279060364, 0.5679992437362671, 0.5640744566917419, 0.5671777725219727, 0.5662650465965271, 0.5666301846504211, 0.5664476156234741, 0.5683643817901611, 0.5657173991203308, 0.5660825371742249, 0.5669952630996704, 0.5678167343139648, 0.5660825371742249, 0.5665388703346252, 0.5662650465965271, 0.5666301846504211, 0.5668126940727234, 0.567725419998169, 0.5662650465965271, 0.5676341652870178, 0.5665388703346252, 0.564439594745636, 0.5666301846504211, 0.5672690868377686]","[0.5521897673606873, 0.5489051342010498, 0.55474454164505, 0.550000011920929, 0.5565693378448486, 0.5543795824050903, 0.5594890713691711, 0.5489051342010498, 0.5605839490890503, 0.5598540306091309, 0.5605839490890503, 0.55474454164505, 0.5602189898490906, 0.5532846450805664, 0.5543795824050903, 0.5598540306091309, 0.5602189898490906, 0.5489051342010498, 0.5562043786048889, 0.552554726600647, 0.5569342970848083, 0.5591241121292114, 0.5565693378448486, 0.5510948896408081, 0.5602189898490906, 0.5496350526809692, 0.5532846450805664, 0.5591241121292114, 0.5594890713691711, 0.5558394193649292]",0.4070843246100978,0.6893491124260355
model_bigger_biggest_lstm,Adagrad,0.002,"[0.5624315738677979, 0.5627053380012512, 0.5629791617393494, 0.5710113048553467, 0.5649872422218323, 0.5660825371742249, 0.5652610659599304, 0.5666301846504211, 0.5656261444091797, 0.5662650465965271, 0.5649872422218323, 0.5668126940727234, 0.5641657710075378, 0.5669040083885193, 0.565991222858429, 0.5664476156234741, 0.5664476156234741, 0.5658999681472778, 0.5643482804298401, 0.5652610659599304, 0.566173791885376, 0.564439594745636, 0.5682730674743652, 0.5668126940727234, 0.5651697516441345, 0.5686382055282593, 0.5670865178108215, 0.566356360912323, 0.5684556365013123, 0.5669040083885193]","[0.5507299304008484, 0.5485401749610901, 0.5485401749610901, 0.5459854006767273, 0.5587591528892517, 0.5624087452888489, 0.5631386637687683, 0.5474452376365662, 0.5536496639251709, 0.5529196858406067, 0.5631386637687683, 0.5503649711608887, 0.5565693378448486, 0.5489051342010498, 0.5489051342010498, 0.5594890713691711, 0.5565693378448486, 0.5481751561164856, 0.5496350526809692, 0.550000011920929, 0.5489051342010498, 0.5620437860488892, 0.5503649711608887, 0.5492700934410095, 0.5576642155647278, 0.5492700934410095, 0.5441606044769287, 0.5678831934928894, 0.5591241121292114, 0.5503649711608887]",0.3959820248480042,0.727810650887574
model_bigger_biggest_lstm,Adam,0.001,"[0.5501095056533813, 0.5594195127487183, 0.555220901966095, 0.5564987063407898, 0.5578678250312805, 0.5805038213729858, 0.5772179365158081, 0.5784045457839966, 0.5898138284683228, 0.5954728126525879, 0.6059693098068237, 0.5956553220748901, 0.6050565838813782, 0.608433723449707, 0.6022270917892456, 0.6113545298576355, 0.6095290184020996, 0.6075209975242615, 0.6117196083068848, 0.6137276291847229, 0.6104417443275452, 0.6098940968513489, 0.6037787795066833, 0.6132712960243225, 0.6074297428131104, 0.617652416229248, 0.6144578456878662, 0.6077035665512085, 0.608433723449707, 0.6129061579704285]","[0.5624087452888489, 0.5481751561164856, 0.5474452376365662, 0.543795645236969, 0.6069343090057373, 0.5861313939094543, 0.5649635195732117, 0.5886861085891724, 0.5248175263404846, 0.5959854125976562, 0.6616788506507874, 0.5846715569496155, 0.5394160747528076, 0.5251824855804443, 0.6594890356063843, 0.6200730204582214, 0.6124087572097778, 0.5729926824569702, 0.5357664227485657, 0.6594890356063843, 0.6266423463821411, 0.639051079750061, 0.6405109763145447, 0.6551094651222229, 0.6726277470588684, 0.5744525790214539, 0.5408759117126465, 0.6080291867256165, 0.6711679100990295, 0.6036496162414551]",0.6558287073750991,0.3757396449704142
model_bigger_biggest_lstm,Adam,0.0012,"[0.6155531406402588, 0.6218510270118713, 0.6133625507354736, 0.6146403551101685, 0.6144578456878662, 0.6091639399528503, 0.6060606241226196, 0.6058780550956726, 0.6063344478607178, 0.6143665313720703, 0.6194779276847839, 0.6252281665802002, 0.6210295557975769, 0.6195691823959351, 0.6115370392799377, 0.6171960830688477, 0.6075209975242615, 0.6089813709259033, 0.612267255783081, 0.6135450601577759, 0.6168309450149536, 0.6161920428276062, 0.6117196083068848, 0.6245892643928528, 0.6210295557975769, 0.6234027147293091, 0.6111719608306885, 0.6222161650657654, 0.6109893918037415, 0.6190215349197388]","[0.6186131238937378, 0.590146005153656, 0.6379562020301819, 0.5810219049453735, 0.6602189540863037, 0.6631386876106262, 0.5945255756378174, 0.642700731754303, 0.5372262597084045, 0.6551094651222229, 0.6770073175430298, 0.56715327501297, 0.5284671783447266, 0.522992730140686, 0.6525547504425049, 0.6288321018218994, 0.6306569576263428, 0.5543795824050903, 0.5445255637168884, 0.6507299542427063, 0.6485401391983032, 0.6470803022384644, 0.6306569576263428, 0.6262773871421814, 0.6824817657470703, 0.5536496639251709, 0.5343065857887268, 0.6211678981781006, 0.6492700576782227, 0.5919708013534546]",0.647898493259318,0.363905325443787
model_bigger_biggest_lstm,Adam,0.0014,"[0.612267255783081, 0.6255933046340942, 0.6204819083213806, 0.6159182190895081, 0.6137276291847229, 0.6207557320594788, 0.6166484355926514, 0.6149141788482666, 0.6205732226371765, 0.6276925802230835, 0.6256845593452454, 0.6350858211517334, 0.6246805191040039, 0.6265972852706909, 0.621303379535675, 0.6316173672676086, 0.6210295557975769, 0.6214859485626221, 0.6313435435295105, 0.6154618263244629, 0.6245892643928528, 0.6156443953514099, 0.6149141788482666, 0.6290616989135742, 0.6195691823959351, 0.628696620464325, 0.6198430061340332, 0.6288791298866272, 0.6255933046340942, 0.6259583830833435]","[0.6160584092140198, 0.6149635314941406, 0.6375912427902222, 0.5503649711608887, 0.6620438098907471, 0.68284672498703, 0.6248174905776978, 0.6302919983863831, 0.5565693378448486, 0.668248176574707, 0.6795620322227478, 0.6003649830818176, 0.5390511155128479, 0.5310218930244446, 0.6383211612701416, 0.6321167945861816, 0.6383211612701416, 0.5536496639251709, 0.6083941459655762, 0.6704379320144653, 0.6138685941696167, 0.6762773990631104, 0.6197080016136169, 0.6532846689224243, 0.6843065619468689, 0.575547456741333, 0.5452554821968079, 0.6291970610618591, 0.6299269795417786, 0.6127737164497375]",0.6806767116045467,0.31952662721893493
model_bigger_biggest_lstm,Adam,0.0018,"[0.6214859485626221, 0.6253194808959961, 0.6251369118690491, 0.6227637529373169, 0.6182913184165955, 0.6237677931785583, 0.6257758140563965, 0.6073384284973145, 0.5971157550811768, 0.6236765384674072, 0.624954342842102, 0.6317999362945557, 0.6139101982116699, 0.6268711090087891, 0.6231288909912109, 0.6327126622200012, 0.6206644773483276, 0.6139101982116699, 0.6299744248390198, 0.6189302802085876, 0.6148229241371155, 0.6219423413276672, 0.6231288909912109, 0.6281489729881287, 0.6098940968513489, 0.6274187564849854, 0.6192953586578369, 0.6173785924911499, 0.6261409521102905, 0.6235852241516113]","[0.5897810459136963, 0.5930656790733337, 0.6058394312858582, 0.5649635195732117, 0.6543795466423035, 0.6788321137428284, 0.5711678862571716, 0.5587591528892517, 0.5729926824569702, 0.5510948896408081, 0.6934306621551514, 0.6489050984382629, 0.5405109524726868, 0.5492700934410095, 0.6740875840187073, 0.55474454164505, 0.62810218334198, 0.5854014754295349, 0.6368613243103027, 0.6474452614784241, 0.6105839610099792, 0.6664233803749084, 0.6704379320144653, 0.6445255279541016, 0.6923357844352722, 0.5357664227485657, 0.5806569457054138, 0.5934306383132935, 0.6222627758979797, 0.6317518353462219]",0.7229711868887126,0.27218934911242604
model_bigger_biggest_lstm,Adam,0.002,"[0.6223986744880676, 0.6219423413276672, 0.6192953586578369, 0.6210295557975769, 0.597480833530426, 0.6198430061340332, 0.637915313243866, 0.6114457845687866, 0.6166484355926514, 0.6317086815834045, 0.6297919154167175, 0.6202080845832825, 0.6315261125564575, 0.6422964334487915, 0.5867104530334473, 0.6287878751754761, 0.6234027147293091, 0.6194779276847839, 0.6308872103691101, 0.5949251651763916, 0.6253194808959961, 0.6357247233390808, 0.6152793169021606, 0.6142752766609192, 0.6234027147293091, 0.6223074197769165, 0.6367287039756775, 0.6328039169311523, 0.6352683305740356, 0.6403797268867493]","[0.579197108745575, 0.6120437979698181, 0.6386861205101013, 0.5200729966163635, 0.6616788506507874, 0.6875912547111511, 0.5839415788650513, 0.5985401272773743, 0.5510948896408081, 0.6580291986465454, 0.68905109167099, 0.6160584092140198, 0.5452554821968079, 0.56715327501297, 0.6766423583030701, 0.5478101968765259, 0.6124087572097778, 0.5638686418533325, 0.5368613004684448, 0.6306569576263428, 0.6686131358146667, 0.6788321137428284, 0.6532846689224243, 0.613503634929657, 0.6850364804267883, 0.5251824855804443, 0.6025547385215759, 0.5941605567932129, 0.6543795466423035, 0.659853994846344]",0.781390430874967,0.23668639053254437
model_bigger_biggest_lstm,Adam,0.01,"[0.5244615077972412, 0.5129609107971191, 0.5206279754638672, 0.5004563927650452, 0.505750298500061, 0.507119357585907, 0.45965680480003357, 0.48521357774734497, 0.4994523525238037, 0.45710113644599915, 0.4617561101913452, 0.5153340697288513, 0.47791165113449097, 0.4725264608860016, 0.4635815918445587, 0.46312522888183594, 0.47645124793052673, 0.46631982922554016, 0.5154253244400024, 0.4708835482597351, 0.4831142723560333, 0.5196239352226257, 0.5313982963562012, 0.4842095673084259, 0.5185286402702332, 0.4767250716686249, 0.5296640992164612, 0.5177071690559387, 0.5333150625228882, 0.523822546005249]","[0.44817519187927246, 0.3788321316242218, 0.5065693259239197, 0.50620436668396, 0.46970802545547485, 0.49197080731391907, 0.405474454164505, 0.40656933188438416, 0.4704379439353943, 0.4000000059604645, 0.4270072877407074, 0.5996350646018982, 0.5014598369598389, 0.3762773871421814, 0.4510948956012726, 0.6656934022903442, 0.4656934440135956, 0.4970802962779999, 0.6664233803749084, 0.48430657386779785, 0.47664234042167664, 0.5047445297241211, 0.4635036587715149, 0.4755474328994751, 0.5244525671005249, 0.6499999761581421, 0.6328467130661011, 0.4974452555179596, 0.6478102207183838, 0.6481751799583435]",0.7716098334655036,0.33727810650887574
model_bigger_biggest_lstm,Nadam,0.001,"[0.557137668132782, 0.5472800135612488, 0.5563161969184875, 0.5506571531295776, 0.553304135799408, 0.5565900206565857, 0.5517524480819702, 0.5537604689598083, 0.5472800135612488, 0.5499269962310791, 0.5327674150466919, 0.5376049876213074, 0.542259931564331, 0.5485578775405884, 0.5551295876502991, 0.5539430379867554, 0.5578678250312805, 0.5635268092155457, 0.5512048006057739, 0.5547645092010498, 0.5548557639122009, 0.5615187883377075, 0.5585980415344238, 0.5630704760551453, 0.5555859804153442, 0.5592369437217712, 0.5523000955581665, 0.5510222911834717, 0.5585980415344238, 0.5565900206565857]","[0.5237226486206055, 0.5248175263404846, 0.5631386637687683, 0.5467153191566467, 0.5408759117126465, 0.5489051342010498, 0.5408759117126465, 0.5218977928161621, 0.543795645236969, 0.5142335891723633, 0.5456204414367676, 0.5204379558563232, 0.5273722410202026, 0.537956178188324, 0.5372262597084045, 0.5259124040603638, 0.5405109524726868, 0.5193430781364441, 0.5368613004684448, 0.5368613004684448, 0.5492700934410095, 0.5412408709526062, 0.5456204414367676, 0.5350365042686462, 0.5332117080688477, 0.537956178188324, 0.5470802783966064, 0.5638686418533325, 0.5503649711608887, 0.5419707894325256]",0.38963785355537933,0.8076923076923077
