@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

fixation_to_clicks,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.017308,0.081053,145.556164,105.682433,44.19817,54.304385,-10.106215,0.052306,0.064266,-0.01196,-372.915889,-0.441321,-843.73603,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.512619,0.994095,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.512619,0.988257,?,0.994083,0.008,0.003,0.015625,0,15.625,0,3001,647934,73164,99.408284,53.017751,?
fixation_to_clicks,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7606,846,841,5,0,99.408983,0.591017,0,0,0.013956,0.076751,117.423041,100.131985,44.206941,42.072144,2.134797,0.052254,0.049731,0.002523,-294.627646,-0.34826,-666.473729,1,841,1,5,0,0,0,0,0.99409,1,0.997036,?,0.723662,0.997418,0.99409,0.99409,0.00591,0.00591,?,0.99409,?,?,0.723662,0.991661,?,0.99409,0.007,0.004,0,0,0,0,3001,647849,73249,99.408983,51.359338,?
fixation_to_clicks,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7606,846,841,5,0,99.408983,0.591017,0,0,0.01574,0.079719,132.437944,104.003234,44.206941,54.427179,-10.220238,0.052254,0.064335,-0.012081,-333.400409,-0.39409,-754.181139,1,841,1,5,0,0,0,0,0.99409,1,0.997036,?,0.451843,0.992975,0.99409,0.99409,0.00591,0.00591,?,0.99409,?,?,0.451843,0.987145,?,0.99409,0.007,0.002,0,0,0,0,3001,647849,73249,99.408983,52.600473,?
fixation_to_clicks,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.013572,0.077129,114.138253,100.565519,44.19817,43.588646,0.609524,0.052306,0.051584,0.000721,-261.477898,-0.309441,-591.603441,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.715238,0.99769,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.715238,0.991889,?,0.994083,0.006,0.002,0,0,0,0,3001,647934,73164,99.408284,51.360947,?
fixation_to_clicks,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.014706,0.078468,123.671049,102.311553,44.19817,52.082272,-7.884102,0.052306,0.061636,-0.00933,-320.918804,-0.379786,-726.090696,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.439405,0.993121,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.439405,0.987283,?,0.994083,0.006,0.002,0,0,0,0,3001,647934,73164,99.408284,51.597633,?
fixation_to_clicks,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.014969,0.07916,125.885794,103.214128,44.19817,50.779656,-6.581486,0.052306,0.060094,-0.007789,-304.238021,-0.360045,-688.349807,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.507381,0.995477,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.507381,0.989628,?,0.994083,0.006,0.002,0,0,0,0,3001,647934,73164,99.408284,52.366864,?
fixation_to_clicks,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.013622,0.07676,114.554107,100.084824,44.19817,41.17256,3.025611,0.052306,0.048725,0.003581,-262.350049,-0.310473,-593.576715,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.79381,0.998491,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.79381,0.992722,?,0.994083,0.005,0.001,0,0,0,0,3001,647934,73164,99.408284,51.005917,?
fixation_to_clicks,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.017886,0.081575,150.414244,106.362856,44.19817,54.791972,-10.593801,0.052306,0.064843,-0.012537,-377.74304,-0.447033,-854.657638,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.45619,0.994526,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.45619,0.988679,?,0.994083,0.005,0.001,0,0,0,0,3001,647934,73164,99.408284,53.668639,?
fixation_to_clicks,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.014035,0.076862,118.030529,100.21756,44.19817,44.617076,-0.418906,0.052306,0.052801,-0.000496,-272.026483,-0.321925,-615.470007,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.681905,0.995852,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.681905,0.990264,?,0.994083,0.005,0.001,0,0,0,0,3001,647934,73164,99.526627,51.715976,?
fixation_to_clicks,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.01367,0.077544,114.962844,101.105994,44.19817,46.510174,-2.312003,0.052306,0.055042,-0.002736,-301.100167,-0.356332,-681.250294,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.569048,0.995808,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.569048,0.989978,?,0.994083,0.005,0.001,0.015625,0,15.625,0,3001,647934,73164,99.408284,51.47929,?
